date,precipitation,temp_max,temp_min,wind,weather,road_condition,visibility,traffic_condition
2023-01-01,0.2,15.5,5.2,3.5,clouds,wet,good,heavy
2023-01-02,0.0,17.2,6.7,2.8,sun,dry,excellent,normal
2023-01-03,0.5,12.8,3.9,5.0,rain,wet,poor,moderate
2023-01-04,0.0,14.4,4.4,3.2,sun,dry,good,normal
2023-01-05,0.0,16.7,7.2,2.5,sun,dry,excellent,normal
2023-01-06,0.8,10.0,1.7,6.3,snow,icy,poor,low
2023-01-07,0.0,13.9,2.2,4.0,sun,dry,good,normal
2023-01-08,0.0,15.6,3.3,3.2,sun,dry,excellent,normal
2023-01-09,0.0,18.3,6.7,2.8,sun,dry,excellent,normal
2023-01-10,0.0,20.6,8.9,2.5,sun,dry,good,normal
2023-01-11,0.0,22.2,10.0,2.2,sun,dry,good,normal
2023-01-12,0.0,23.9,11.7,2.0,sun,dry,excellent,normal
2023-01-13,0.0,25.6,13.3,1.8,sun,dry,excellent,normal
2023-01-14,0.0,27.2,15.0,1.5,sun,dry,good,normal
2023-01-15,0.0,28.9,16.7,1.3,sun,dry,good,normal
2023-01-16,0.0,30.6,18.3,1.0,sun,dry,excellent,normal
2023-01-17,0.0,32.2,20.0,0.8,sun,dry,excellent,normal
2023-01-18,0.0,33.9,21.7,0.7,sun,dry,good,normal
2023-01-19,0.0,35.6,23.3,0.5,sun,dry,good,normal
2023-01-20,0.0,37.2,25.0,0.4,sun,dry,excellent,normal
2023-01-21,0.0,38.9,26.7,0.3,sun,dry,excellent,normal
2023-01-22,0.0,40.6,28.3,0.2,sun,dry,good,normal
2023-01-23,0.0,42.2,30.0,0.2,sun,dry,good,normal
2023-01-24,0.0,43.9,31.7,0.2,sun,dry,excellent,normal
2023-01-25,0.0,45.6,33.3,0.1,sun,dry,excellent,normal
2023-01-26,0.0,47.2,35.0,0.1,sun,dry,good,normal
2023-01-27,0.0,48.9,36.7,0.1,sun,dry,good,normal
2023-01-28,0.0,50.6,38.3,0.1,sun,dry,excellent,normal
2023-01-29,0.0,52.2,40.0,0.1,sun,dry,excellent,normal
2023-01-30,0.0,53.9,41.7,0.1,sun,dry,good,normal
2023-01-31,0.0,55.6,43.3,0.1,sun,dry,good,normal
2023-02-01,0.0,57.2,45.0,0.1,sun,dry,excellent,normal
2023-02-02,0.0,58.9,46.7,0.1,sun,dry,excellent,normal
2023-02-03,0.0,60.6,48.3,0.1,sun,dry,good,normal
2023-02-04,0.0,62.2,50.0,0.1,sun,dry,good,normal
2023-02-05,0.0,63.9,51.7,0.1,sun,dry,excellent,normal
